"property_key","avantstay_home_id","property_name","property_title","property_building","property_room_type","property_market","property_market_polygon","property_sub_market","property_address","property_city","property_latitude","property_longitude","property_state","property_state_code","property_country","property_country_code","property_postal_code","property_asset_type","property_pricing_tier","property_is_active","property_listing_status","property_is_listed","property_airbnb_listing_is_active","property_vrbo_listing_is_active","property_marriott_listing_is_active","property_expedia_listing_is_active","property_booking_com_listing_is_active","property_hopper_listing_is_active","property_top_villas_listing_is_active","property_quintess_listing_is_active","property_google_travel_listing_is_active","property_is_deleted","property_is_buyout","property_is_buyout_unit","property_is_hotel","property_hotel_name","property_is_luxe","property_is_luxe_of","property_is_ltr_only","property_min_night_floor","property_account_status","property_guest_readiness_status","property_stabilization_status","property_acquisition_channel","property_revenue_model","property_target_partner","property_contract_id","property_max_occupancy","property_bedrooms_count","property_bathrooms_count","property_half_bathroom_count","property_beds_count","property_floors_count","property_square_footage","property_images_count","property_maintenance_status","property_amenities_list","has_hot_tub","has_air_conditioning","has_private_pool","has_communal_pool","property_is_waterfront","property_pets_possible","property_pet_policy","property_pet_count_allowed","property_segment","property_risk_level","property_risk_reason","property_licensing_framework","property_voyage_tags","vrbo_property_type","airbnb_property_type","airbnb_account_name","airbnb_host_id","property_airbnb_external_id","property_vrbo_external_id","property_marriott_external_id","property_expedia_external_id","property_booking_com_external_id","property_hopper_external_id","property_top_villas_external_id","property_quintess_external_id","property_google_travel_external_id","property_airbnb_url","property_avantstay_manual_url","property_vrbo_url","property_marriott_url","property_expedia_url","property_booking_com_url","property_hopper_url","property_top_villas_url","property_quintess_url","property_google_travel_url","property_website_url","property_numeric_id","property_website_slug_url","avantstay_market_id","wheelhouse_id"
"5b56af1d-a0a5-4d8f-9461-7318cf98b7ee","0022be63-aafc-11ec-a5a5-19b4118bbdc3",Selecta Ave 2 - Desert View,Desert View,"","",Joshua Tree,"",Joshua Tree,"57019 Selecta Avenue",Yucca Valley,34.096973,-116.42098,California,CA,United States,US,"92284",SFR,"",N,Unlisted,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"",N,"",N,1,Terminated,Offboarded,STABILIZED,ORGANIC,LEASED,"","0016g00001g2B4yAAE",12,5,3,0,5,1,2027,39,PENDING_INSPECTION,"{'Security Camera','Hot Tub','Laptop Friendly Workspace','Cookware (Pots, Pans, Cutting Boards, Knives)','Garden/Backyard','Bakeware','Beddings and Sheets','Hot Water','Dinnerware (Bowls, Plates, Mugs)','Dishwasher','Dryer','Fire Pit','First Aid Kit','Freezer','Glassware','Heating','Oven','Pillows and Blankets','Smartlock','Smoke Detector','Cleaning Supplies','Stove','Towels','TV','Wifi','Drip Coffee Maker','Ground Coffee & Tea','Private Parking','Basic Cooking Essentials','Private Yard','Laundry Detergent','Kitchen','Free Parking','Carbon Monoxide Detector','Deadbolt Lock','Fire Extinguisher','Hair Dryer','Pack n Play Travel Crib','Pool Table','Air Conditioning','Fridge','Kitchen Cleaning Supplies','Serveware','Silverware (Forks, Spoons, Knives)','Water Filter','Washing Machine','Pool','Bathtub','Hangers','Closet','Single Level Home','Board Games','Ceiling Fans','Iron','Iron Board','Microwave','Highchair','Kettle','Ice Maker','BBQ','Blender','Toaster','Hiking','Lock Box'}",Y,Y,Y,N,N,Y,Approved,2,"",Low,"","",{},N/A,N/A,"","","651619558391976521","2867830","40101755","83910707","8867903","584364","584364","584364","584364",https://www.airbnb.com/rooms/651619558391976521,https://manuals.avantstay.com/0022be63-aafc-11ec-a5a5-19b4118bbdc3,https://www.vrbo.com/2867830?dateless=true,https://homes-and-villas.marriott.com/en/properties/40101755,https://www.expedia.com/h83910707.Hotel-Information,https://www.booking.com/hotel/us/desert-view-by-avantstay20mins-from-joshua-tree.html,"","","","",https://avantstay.com/0022be63-aafc-11ec-a5a5-19b4118bbdc3,"508907",https://www.avantstay.com/508907/joshua-tree/desert-view,"9683d222-ade2-11eb-9e1d-e7df518070a9","0022be63-aafc-11ec-a5a5-19b4118bbdc3"
"02bb8622-44ac-47f1-b087-67625d6f58ba","00240b19-e22a-11ee-84b0-8d955477d410",Glenwood Dr - Alpine Whisper,Alpine Whisper,"","",Big Bear,"",Big Bear,"382 Glenwood Dr",Big Bear Lake,34.255806,-116.87047,California,CA,United States,US,"92315",SFR,"",N,Unlisted,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"",N,"",N,2,Terminated,Offboarding,STABILIZED,ORGANIC,MANAGED,"","001Jw00000KsbezIAB",6,3,2,0,5,1,3105,41,PENDING_INSPECTION,"{'Security Camera','BBQ','Cookware (Pots, Pans, Cutting Boards, Knives)','Bakeware','Balcony','Beddings and Sheets','Hot Water','Deck Patio Uncovered','Dinnerware (Bowls, Plates, Mugs)','Dishwasher','Dryer','Fire Pit','Fireplace','Freezer','Glassware','Hangers','Heating','Microwave','Oven','Patio','Pillows and Blankets','Cleaning Supplies','Stove','Toaster','Towels','Travel-Sized Toiletries (Shower Gel, Shampoo, Conditioner, Soap)','TV','Wifi','Ground Coffee & Tea','Ceiling Fans','Basic Cooking Essentials','Laundry Detergent','Closet','Lake','Mountain','Mountain View','Hiking','Kitchen','Outdoor Dining Area','Hair Dryer','Pack n Play Travel Crib','Board Games','Pool Table','Air Conditioning','Fridge','Kitchen Cleaning Supplies','Serveware','Silverware (Forks, Spoons, Knives)','Water Filter','Bathtub','Washing Machine','Free Parking','Private Parking','Private Entrance'}",N,Y,N,N,N,N,Not Approved,0,"",High,"","","{'High Cleaning Cost','High Fee Ratio','Removed Amenity'}",N/A,N/A,BIG_BEAR,"364845784","1142276785016337352","3970994","40345403","104399737","11974054","3811705","3811705","3811705","3811705",https://www.airbnb.com/rooms/1142276785016337352,https://manuals.avantstay.com/00240b19-e22a-11ee-84b0-8d955477d410,https://www.vrbo.com/3970994?dateless=true,https://homes-and-villas.marriott.com/en/properties/40345403,https://www.expedia.com/h104399737.Hotel-Information,https://www.booking.com/hotel/us/alpine-whisper-by-avantstay-deck-pool-table.html,"",https://thetopvillas.com/alpine-whisper-by-avantstay-deck-pool-table-22034,"https://pmg-properties.whimtravels.com/big-bear,alpine-whisper-by-avantstay-deck-pool-table","",https://avantstay.com/00240b19-e22a-11ee-84b0-8d955477d410,"603961",https://www.avantstay.com/603961/big-bear/alpine-whisper,fff36981-e971-11ea-9253-015e776b45ed,"00240b19-e22a-11ee-84b0-8d955477d410"
"957d7707-ea2b-4d55-a953-c7aae36f495c","00272531-a82b-11ef-8f8f-a7ccf4988413","5416 Solterra Cir","","","",Orlando,"","","5416 Solterra Cir",Davenport,28.23746,-81.60207,Florida,FL,United States,US,"33837","","",N,Pre-Listed,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,"",N,"",N,0,"","",PIPELINE,"","","","",12,0,5,0,0,1,0,0,PENDING_INSPECTION,"{'Cookware (Pots, Pans, Cutting Boards, Knives)','Bakeware','Beddings and Sheets','Dinnerware (Bowls, Plates, Mugs)','Wifi','Cleaning Supplies','Security Camera','Basic Cooking Essentials','Glassware','Ground Coffee & Tea','Serveware','Kitchen Cleaning Supplies','Towels','Travel-Sized Toiletries (Shower Gel, Shampoo, Conditioner, Soap)','Drip Coffee Maker','Hot Water','Water Filter','Laundry Detergent','Pillows and Blankets','Silverware (Forks, Spoons, Knives)'}",N,N,N,N,N,N,Not Approved,0,"","","","",{},N/A,N/A,"","","","","","","","","","","",https://www.airbnb.com/rooms/,https://manuals.avantstay.com/00272531-a82b-11ef-8f8f-a7ccf4988413,https://www.vrbo.com/?dateless=true,"","","","","","","",https://avantstay.com/00272531-a82b-11ef-8f8f-a7ccf4988413,"613596","","9e3e107b-15be-4fa4-82f4-72a341965e41","00272531-a82b-11ef-8f8f-a7ccf4988413"
"368f4abb-38fd-4a51-bba9-d65df15c37aa","0030ea14-19d8-11ee-8467-971df8428312",Fircrest Ave - Whidbey Bliss,Whidbey Bliss,"","",Whidbey Island,"","","1877 Fircrest Ave",Coupeville,48.14192,-122.60071,Washington,WA,United States,US,"98239",SFR,"",Y,Listed,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,"",N,"",N,2,Active,Onboarded,STABILIZED,INORGANIC,MANAGED,TARA_VR,"001EX0000045lWFYAY",6,3,2,0,4,1,1293,39,PENDING_INSPECTION,"{'Security Camera','BBQ','Laptop Friendly Workspace','Cookware (Pots, Pans, Cutting Boards, Knives)','Garden/Backyard','Bakeware','Beddings and Sheets','Hot Water','Deck Patio Uncovered','Dinnerware (Bowls, Plates, Mugs)','Dishwasher','Dryer','Fire Pit','Fireplace','First Aid Kit','Freezer','Glassware','Hangers','Heating','Kettle','Lock Box','Private Entrance','Microwave','Oven','Pillows and Blankets','Smartlock','Smoke Detector','Cleaning Supplies','Stove','Toaster','Towels','Travel-Sized Toiletries (Shower Gel, Shampoo, Conditioner, Soap)','TV','Wifi','Drip Coffee Maker','Ground Coffee & Tea','Private Parking','Basic Cooking Essentials','Private Yard','Laundry Detergent','Blender','Portable Fans','Single Level Home','Closet','Beach','Beach View','Mountain View','Near Ocean','Ocean View','Rural','Water View','Kitchen','Free Parking','Outdoor Dining Area','Carbon Monoxide Detector','Deadbolt Lock','Fire Extinguisher','Hair Dryer','Board Games','Desk','Fridge','Kitchen Cleaning Supplies','Serveware','Silverware (Forks, Spoons, Knives)','Water Filter','Bathtub','Washing Machine','Beach Access'}",N,N,N,N,N,N,Not Approved,0,"","","","",{'Owner Required Min Stay'},N/A,N/A,WHIDBEY_ISLAND,"96863097","1049325537025664897","3768313","40293519","101152050","11255664","3762548","3762548","3762548","3762548",https://www.airbnb.com/rooms/1049325537025664897,https://manuals.avantstay.com/0030ea14-19d8-11ee-8467-971df8428312,https://www.vrbo.com/3768313?dateless=true,https://homes-and-villas.marriott.com/en/properties/40293519,https://www.expedia.com/h101152050.Hotel-Information,https://www.booking.com/hotel/us/whidbey-bliss-by-avantstay-2min-to-beach-view.html,"",https://thetopvillas.com/whidbey-bliss-by-avantstay-2min-to-beach-view-22034,"https://pmg-properties.whimtravels.com/camano-island,whidbey-bliss-by-avantstay-2min-to-beach-+-view",https://www.google.com/travel/hotels/entity/CgoQxonWjabi5YgfEAI=/overview?g2lb=43807868,https://avantstay.com/0030ea14-19d8-11ee-8467-971df8428312,"600858",https://www.avantstay.com/600858/whidbey-island/whidbey-bliss,eb5c3016-8eae-4c1b-9a0b-5ef5a95e7f59,"0030ea14-19d8-11ee-8467-971df8428312"
"4397a36b-af33-4c89-b0cb-4fe60f94a77a","003175c4-a63d-11ec-b76e-f75420e0d18a",Polo Villas House 1 - Polo Villa 1,Polo Villa 1,Polo Villa,"",Coachella Valley,"",La Quinta,"51205 Evangeline Way",La Quinta,33.67654,-116.25301,California,CA,United States,US,"92253",SFR,"",Y,Listed,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Polo Villas,N,"",N,2,Active,Onboarded,STABILIZED,PROPCO,MANAGED,BUILD_TO_STAY,"0016g000022n4jAAAQ",12,5,5,0,6,1,3481,55,PENDING_INSPECTION,"{'Volleyball Court','EV Charger','Mountain View','Pool view','Hair Dryer','Travel-Sized Toiletries (Shower Gel, Shampoo, Conditioner, Soap)','Towels','Bathtub','Wifi','Desk','Laptop Friendly Workspace','Smartlock','Carbon Monoxide Detector','Deadbolt Lock','Fire Extinguisher','First Aid Kit','Smoke Detector','Security Camera','Patio','Garden/Backyard','Private Yard','Fire Pit','Deck Patio Uncovered','Outdoor Dining Area','Beddings and Sheets','Pillows and Blankets','Hangers','Closet','Pack n Play Travel Crib','Air Conditioning','Heating','Fireplace','Ceiling Fans','Hot Water','BBQ','Basic Cooking Essentials','Dishwasher','Drip Coffee Maker','Highchair','Bakeware','Cookware (Pots, Pans, Cutting Boards, Knives)','Dinnerware (Bowls, Plates, Mugs)','Oven','Freezer','Fridge','Glassware','Ground Coffee & Tea','Kettle','Kitchen Cleaning Supplies','Microwave','Serveware','Silverware (Forks, Spoons, Knives)','Stove','Toaster','Water Filter','Blender','Dining table','Kitchen','Living room','Outdoor Kitchen','Washing Machine','Dryer','Iron','Home Step Free Access','Iron Board','Cleaning Supplies','Laundry Detergent','TV','Pool Table','Board Games','Ping Pong Table','Stereo System','Home Wide Doorway','Private Parking','Free Parking','Private Entrance','Hot Tub','Pool','Accessible parking spot','Ceiling or mobile hoist','Swimming pool or hot tub hoist'}",Y,Y,Y,N,N,Y,Approved,2,"",Very High,"","",{},House,House,POLO_VILLAS,"568114404","1120427543500030505","2738904","40115639","106920680","12432504","3231014","3231014","3231014","3231014",https://www.airbnb.com/rooms/1120427543500030505,https://manuals.avantstay.com/003175c4-a63d-11ec-b76e-f75420e0d18a,https://www.vrbo.com/2738904?dateless=true,https://homes-and-villas.marriott.com/en/properties/40115639,https://www.expedia.com/h106920680.Hotel-Information,https://www.booking.com/hotel/us/polo-villa-6-by-avantstay-4k-sqft-new-build-home.html,"",https://thetopvillas.com/la-quinta-50,"https://pmg-properties.whimtravels.com/la-quinta,polo-villa-1--4k-sqft-new-build-home-permit-217106-5-bedrooms",https://www.google.com/travel/hotels/entity/CgoQqNGdpKfboIBfEAI=/overview?g2lb=43807868,https://avantstay.com/003175c4-a63d-11ec-b76e-f75420e0d18a,"507764",https://www.avantstay.com/507764/coachella-valley/polo-villa-1,"42b755e6-4f50-11e9-afc4-cfeda9af0fec","003175c4-a63d-11ec-b76e-f75420e0d18a"
"6bde13ef-5dd1-48c0-a53b-3215d8c0b72d","003405a7-203b-11ea-b1b8-5f07ff65cdd4",Foothill 2 - Apollo,Apollo,"","",Scottsdale,"",Paradise Valley,"4514 E Foothill Dr",Paradise Valley,33.552746,-111.98401,Arizona,AZ,United States,US,"85253",SFR,Premium,N,Unlisted,N,N,N,Y,N,Y,N,N,N,N,N,N,N,N,"",N,"",N,1,Terminated,Offboarded,STABILIZED,ORGANIC,LEASED,"","0016g00000Jl3idAAB",16,6,5,2,7,2,7332,39,DIRTY,"{'Security Camera','Hot Tub','BBQ','Cookware (Pots, Pans, Cutting Boards, Knives)','Garden/Backyard','Bakeware','Balcony','Beddings and Sheets','Deck Patio Uncovered','Dinnerware (Bowls, Plates, Mugs)','Dishwasher','Dryer','Fireplace','First Aid Kit','Freezer','Glassware','Hangers','Heating','Iron Board','Iron','Kettle','Lock Box','Microwave','Oven','Patio','Pillows and Blankets','Smoke Detector','Cleaning Supplies','Stove','Terrace','Toaster','Towels','Travel-Sized Toiletries (Shower Gel, Shampoo, Conditioner, Soap)','TV','Wifi','Wood Stove','Drip Coffee Maker','Ground Coffee & Tea','Private Parking','Ceiling Fans','Basic Cooking Essentials','Private Yard','Laundry Detergent','Private Entrance','Mountain View','Rural','Hiking','Kitchen','Carbon Monoxide Detector','Deadbolt Lock','Fire Extinguisher','Hair Dryer','Pool Table','Air Conditioning','Fridge','Kitchen Cleaning Supplies','Serveware','Silverware (Forks, Spoons, Knives)','Water Filter','Washing Machine','Pool','Fire Pit','Pack n Play Travel Crib','Hot Water','Laptop Friendly Workspace'}",Y,Y,Y,N,N,N,Not Approved,0,Scottsdale - Paradise Valley - Premium - 6+BR,High,"","",{},N/A,N/A,"","","689350171722925418","3270667","78084334","83910716","8867909","584364","584364","584364","584364",https://www.airbnb.com/rooms/689350171722925418,https://manuals.avantstay.com/003405a7-203b-11ea-b1b8-5f07ff65cdd4,https://www.vrbo.com/3270667?dateless=true,https://homes-and-villas.marriott.com/en/properties/78084334,https://www.expedia.com/h83910716.Hotel-Information,https://www.booking.com/hotel/us/apollo-by-avantstay-6br-private-desert-oasis-with-pool-hot-tub-movie-room.html,"","","","",https://avantstay.com/003405a7-203b-11ea-b1b8-5f07ff65cdd4,"428247",https://www.avantstay.com/428247/scottsdale/apollo,c1bda57a-6214-11e9-a3b5-dd949d424ff2,"003405a7-203b-11ea-b1b8-5f07ff65cdd4"
"78fddeea-19eb-4b32-ba11-cce3e4b08ad1","0037c055-85f8-11ec-89e9-cfa8eac7ea3e",Crown Drive - Pollock,Pollock,"","",Lake Arrowhead,"",Lake Arrowhead,"843 Crown Drive",Lake Arrowhead,34.265297,-117.20859,California,CA,United States,US,"92352",SFR,"",Y,Listed,Y,Y,Y,Y,Y,N,Y,Y,Y,Y,N,N,N,N,"",N,"",N,2,Active,Onboarded,STABILIZED,ORGANIC,MANAGED,"","0016g00001yb9DcAAI",12,6,4,0,11,1,3243,43,PENDING_INSPECTION,"{'Mountain','Security Camera','Hot Tub','Cookware (Pots, Pans, Cutting Boards, Knives)','Bakeware','Balcony','Beddings and Sheets','Deck Patio Uncovered','Dinnerware (Bowls, Plates, Mugs)','Glassware','Heating','Movie Theatre','Patio','Pillows and Blankets','Shuffleboard','Smoke Detector','Cleaning Supplies','Stove','Towels','TV','Wifi','Drip Coffee Maker','Ground Coffee & Tea','Basic Cooking Essentials','Laundry Detergent','Private Entrance','Kitchen','Outdoor Dining Area','Carbon Monoxide Detector','Hair Dryer','Pool Table','Air Conditioning','Kitchen Cleaning Supplies','Serveware','Silverware (Forks, Spoons, Knives)','Water Filter','Mountain View','Lake','Hot Water','Pack n Play Travel Crib','Laptop Friendly Workspace','Fire Pit','BBQ','Home Step Free Access'}",Y,Y,N,N,N,N,Not Approved,0,"",Very High,"","",{'Owner Required Floor Rate'},House,House,LAKE_ARROWHEAD,"422875083","603056465634869776","2757031","40101561","83910728","8867910","3231018","3231018","3231018","3231018",https://www.airbnb.com/rooms/603056465634869776,https://manuals.avantstay.com/0037c055-85f8-11ec-89e9-cfa8eac7ea3e,https://www.vrbo.com/2757031?dateless=true,https://homes-and-villas.marriott.com/en/properties/40101561,https://www.expedia.com/h83910728.Hotel-Information,https://www.booking.com/hotel/us/pollock-by-avantstay-stunning-views-w-movie-room-hot-tub-game-room-large-balcony.html,"",https://thetopvillas.com/pollock-by-avantstay-stunning-views-w-movie-room-hot-tub-game-room-large-balcony-22034,"https://pmg-properties.whimtravels.com/lake-arrowhead,pollock--stunning-views-w-movie-room-hot-tub-game-room-large-balcony",https://www.google.com/travel/hotels/entity/CgoQxMaIu4fTlOEdEAI=/overview?g2lb=43807868,https://avantstay.com/0037c055-85f8-11ec-89e9-cfa8eac7ea3e,"502134",https://www.avantstay.com/502134/lake-arrowhead/pollock,da836437-3636-4df6-96f6-5ccfa48411a9,"0037c055-85f8-11ec-89e9-cfa8eac7ea3e"
b84eb3c4-92e4-4ecc-ab76-44980b7af3a5,"003e19be-de12-11ec-92c4-037e38bfcde9",Truman Ave #11 (KW55) - Conch Wind,Conch Wind,"","",Key West,"","","606 Truman Ave #11",Key West,24.55188,-81.797325,Florida,FL,United States,US,"33040",SFR,"",N,Unlisted,N,N,N,N,N,N,N,N,N,N,N,N,N,N,"",N,"",N,7,Terminated,Offboarded,STABILIZED,INORGANIC,MANAGED,AT_HOME_KW,"0016g000024u7u8AAA",4,2,2,0,3,1,1260,22,PENDING_INSPECTION,"{'Hair Dryer','Hot Water','Laptop Friendly Workspace','Private Entrance','Security Camera','Beach','Kitchen','Cookware (Pots, Pans, Cutting Boards, Knives)','Bakeware','Beddings and Sheets','Wifi','Basic Cooking Essentials','Glassware','Ground Coffee & Tea','Serveware','Kitchen Cleaning Supplies','Pillows and Blankets','Silverware (Forks, Spoons, Knives)','Smartlock','Deadbolt Lock','Water Filter','Towels','Cleaning Supplies','Laundry Detergent','Dinnerware (Bowls, Plates, Mugs)','Travel-Sized Toiletries (Shower Gel, Shampoo, Conditioner, Soap)','Drip Coffee Maker','TV','Heating','Air Conditioning','Ceiling Fans','Washing Machine','Dryer','Dishwasher','Oven','Stove','Fridge','Freezer','Deck Patio Uncovered','Veranda','Patio','Private Parking','Communal Pool','First Aid Kit','Smoke Detector','Fire Extinguisher','Carbon Monoxide Detector'}",N,Y,N,Y,N,N,Not Approved,0,"",Low,"","",{},N/A,N/A,"","","20520913","3230479","","","","","","","",https://www.airbnb.com/rooms/20520913,https://manuals.avantstay.com/003e19be-de12-11ec-92c4-037e38bfcde9,https://www.vrbo.com/3230479?dateless=true,"","","","","","","",https://avantstay.com/003e19be-de12-11ec-92c4-037e38bfcde9,"518715",https://www.avantstay.com/518715/key-west/conch-wind,"415fe94c-f0d6-11ec-8ea0-0242ac120002",""
"267d9e11-6718-4604-9531-40974bb73d3b","00450f7d-7121-11ef-b5dc-b984d239b60f","14th Street (BG68) - Ocean Oasis",Ocean Oasis,"","",Panama City Beach,"",Panama City Beach,"228 14th Street",Panama City Beach,30.24527,-85.93337,Florida,FL,United States,US,"32413",SFR,"",Y,Listed,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,"",N,"",N,2,Active,Onboarded,RAMPING,ORGANIC,MANAGED,"","001Jw00000XHH4jIAH",6,2,2,0,3,1,960,18,PENDING_INSPECTION,"{'Bicycle','Beach','Hiking','Near Ocean','Hair Dryer','Travel-Sized Toiletries (Shower Gel, Shampoo, Conditioner, Soap)','Towels','Bathtub','Wifi','Laptop Friendly Workspace','Smoke Detector','Security Camera','Outdoor Dining Area','Beddings and Sheets','Pillows and Blankets','Hangers','Closet','Pack n Play Travel Crib','Air Conditioning','Heating','Ceiling Fans','Hot Water','BBQ','Basic Cooking Essentials','Dishwasher','Drip Coffee Maker','Bakeware','Cookware (Pots, Pans, Cutting Boards, Knives)','Dinnerware (Bowls, Plates, Mugs)','Oven','Freezer','Fridge','Glassware','Microwave','Serveware','Silverware (Forks, Spoons, Knives)','Stove','Toaster','Water Filter','Blender','Kitchen','Washing Machine','Dryer','Laundry Detergent','TV','Private Parking','Free Parking','Private Entrance'}",N,Y,N,N,N,Y,Approved,1,"",Low,"","","{'Owner Required Min Stay','Owner Required Floor Rate'}",N/A,N/A,PANAMA_CITY_BEACH,"444647601","1517410382792705333","2937182","40500624","111033438","13159742","3898107","3898107","3898107","3898107",https://www.airbnb.com/rooms/1517410382792705333,https://manuals.avantstay.com/00450f7d-7121-11ef-b5dc-b984d239b60f,https://www.vrbo.com/2937182?dateless=true,https://homes-and-villas.marriott.com/en/properties/40500624,https://www.expedia.com/h111033438.Hotel-Information,https://www.booking.com/hotel/us/ocean-oasis-by-avantstay-block-to-beach-west-pcb-petfriendly.html,"",https://thetopvillas.com/panama-city-beach-62,"",https://www.google.com/travel/hotels/entity/CgsQwOilxv312YWVARAC/overview?g2lb=43807868,https://avantstay.com/00450f7d-7121-11ef-b5dc-b984d239b60f,"609624",https://www.avantstay.com/609624/panama-city-beach/ocean-oasis,"4a3e2d43-9b74-4825-bd5c-8ac1663437df","00450f7d-7121-11ef-b5dc-b984d239b60f"
"446ce70f-ffd8-4f89-b50c-18956feed918","00737e0a-38ce-11ec-a553-f5e68da4bedb",Cottonwood Ln (WR13) - Indio Escape,Indio Escape,"","",Coachella Valley,"",Indio,"46215 Cottonwood ln",Indio,33.713085,-116.2589,California,CA,United States,US,"92201",SFR,WR,Y,Listed,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,"",N,"",N,2,Active,Onboarded,STABILIZED,ORGANIC,MANAGED,"","0016g00001uqe6FAAQ",14,5,3,0,6,1,1971,30,PENDING_INSPECTION,"{'Accessible parking spot','Golf','Downtown','Pool view','Hair Dryer','Travel-Sized Toiletries (Shower Gel, Shampoo, Conditioner, Soap)','Towels','Bathtub','Wifi','Desk','Laptop Friendly Workspace','Smartlock','Carbon Monoxide Detector','Deadbolt Lock','Fire Extinguisher','First Aid Kit','Smoke Detector','Security Camera','Patio','Garden/Backyard','Private Yard','Fire Pit','Balcony','Outdoor Dining Area','Beddings and Sheets','Pillows and Blankets','Hangers','Closet','Pack n Play Travel Crib','Air Conditioning','Heating','Fireplace','Ceiling Fans','Hot Water','BBQ','Basic Cooking Essentials','Dishwasher','Drip Coffee Maker','Highchair','Bakeware','Cookware (Pots, Pans, Cutting Boards, Knives)','Dinnerware (Bowls, Plates, Mugs)','Oven','Freezer','Fridge','Glassware','Ground Coffee & Tea','Kitchen Cleaning Supplies','Microwave','Serveware','Silverware (Forks, Spoons, Knives)','Stove','Water Filter','Wood Stove','Kitchen','Washing Machine','Dryer','Iron','Iron Board','Cleaning Supplies','Laundry Detergent','TV','Movie Theatre','Home Step Free Access','Lit path to the guest entrance','Private Parking','Street Parking','Free Parking','Private Entrance','Hot Tub','Pool'}",Y,Y,Y,N,N,Y,Approved,2,Coachella Valley - Indio - WR - 4-5BR,High,"","",{},House,House,PALM_SPRINGS,"325909879","53116071","2530059","40183993","89919744","8867913","3231019","3231019","3231019","3231019",https://www.airbnb.com/rooms/53116071,https://manuals.avantstay.com/00737e0a-38ce-11ec-a553-f5e68da4bedb,https://www.vrbo.com/2530059?dateless=true,https://homes-and-villas.marriott.com/en/properties/40183993,https://www.expedia.com/h89919744.Hotel-Information,https://www.booking.com/hotel/us/indio-escape-by-avantstay-stunning-home-in-coachella-w-pool-hot-tub.html,"",https://thetopvillas.com/indio-69,"https://pmg-properties.whimtravels.com/la-quinta,indio-escape--stunning-home-in-coachella-w-pool-hot-tub",https://www.google.com/travel/hotels/entity/CgoQ3ZTRodDdk7NKEAI=/overview?g2lb=43807868,https://avantstay.com/00737e0a-38ce-11ec-a553-f5e68da4bedb,"489239",https://www.avantstay.com/489239/coachella-valley/indio-escape,"42b755e6-4f50-11e9-afc4-cfeda9af0fec","00737e0a-38ce-11ec-a553-f5e68da4bedb"
"315a7a2c-f673-45a2-86b9-380a7a75d30a","00751a9c-0536-11ec-9ecc-471b0aff6834",Blue Desert 27 (Beach Estate 33) - Casa Maracuyá,Blue Desert 27 (Beach Estate 33) - Casa Maracuyá,"","",Cabo San Lucas,"","",Beach Estate 33 Diamante Boulevard,Cabo San Lucas,22.896976,-109.982346,Baja California Sur,BS,Mexico,MX,"23473","","",N,Unlisted,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,"",N,"",N,0,Terminated,Offboarded,PIPELINE,"","","","",14,0,5,0,0,1,0,15,PENDING_INSPECTION,"{'Hot Water','Laptop Friendly Workspace','Travel-Sized Toiletries (Shower Gel, Shampoo, Conditioner, Soap)','Kitchen'}",N,N,N,N,N,N,"",0,"","","","",{},N/A,N/A,"","","","","","","","","","","","",https://manuals.avantstay.com/00751a9c-0536-11ec-9ecc-471b0aff6834,"","","","","","","","",https://avantstay.com/00751a9c-0536-11ec-9ecc-471b0aff6834,"","",a14aab8c-59da-11eb-be2a-53d34cc8c68c,""
